	category	 package 	 min_sdk 	 targ_sdk 	 #Services 
566	COMMUNICATION	com.truecaller	25	16	55
567	DATING	com.goseeyou	27	16	9
568	DATING	com.grokiolabs.Ferzu	25	16	5
569	DATING	com.haterdater.hater	27	19	22
570	DATING	com.hideitpro.chat	27	16	9
571	COMMUNICATION	com.webascender.callerid	27	21	11
572	DATING	canada.dating.app	27	17	3
573	DATING	com.potatolabs.banana	20	16	6
574	DATING	com.snapcupid.app	23	17	7
575	DATING	com.spark.com.silversingles.app	27	15	14
576	DATING	com.stddating.positivesingles	23	16	14
577	DATING	com.sugadady	26	16	3
578	DATING	com.wannameet.android.app	25	15	12
579	DATING	com.wCanadaDating_7126216	25	16	15
580	DATING	com.farmersonly.android	21	14	1
581	DATING	com.hotornot.app	23	21	37
582	EDUCATION	air.com.articulate.articulatemobileplayer	22	13	0
583	EDUCATION	air.com.rosettastone.mobile.CoursePlayer	27	21	10
584	EDUCATION	air.com.shubi.LearnCNLW.english	25	14	1
585	EDUCATION	air.com.sierravistasoftware.SightWordsSB1	27	14	0
586	EDUCATION	air.fisherprice.com.Puppy	24	14	0
587	DATING	com.league.theleague	24	19	6
